A: 0x0000, D: 0xff, D: 255, D: ?
A: 0x0001, D: 0xe8, D: 232, D: ?
A: 0x0002, D: 0xff, D: 255, D: ?
A: 0x0003, D: 0x70, D: 112, D: p
A: 0x0004, D: 0xff, D: 255, D: ?
A: 0x0005, D: 0x00, D: 0, D: ?
A: 0x0006, D: 0xff, D: 255, D: ?
A: 0x0007, D: 0xb0, D: 176, D: ?
A: 0x0008, D: 0xff, D: 255, D: ?
A: 0x0009, D: 0xe0, D: 224, D: ?
A: 0x000a, D: 0xff, D: 255, D: ?
A: 0x000b, D: 0x28, D: 40, D: (
A: 0x000c, D: 0xff, D: 255, D: ?
A: 0x000d, D: 0xd0, D: 208, D: ?
A: 0x000e, D: 0xff, D: 255, D: ?
A: 0x000f, D: 0x00, D: 0, D: ?
A: 0x0010, D: 0xff, D: 255, D: ?
A: 0x0011, D: 0x20, D: 32, D:  
A: 0x0012, D: 0xff, D: 255, D: ?
A: 0x0013, D: 0xc0, D: 192, D: ?
A: 0x0014, D: 0xff, D: 255, D: ?
A: 0x0015, D: 0x10, D: 16, D: ?
A: 0x0016, D: 0xff, D: 255, D: ?
A: 0x0017, D: 0x00, D: 0, D: ?
A: 0x0018, D: 0xff, D: 255, D: ?
A: 0x0019, D: 0x90, D: 144, D: ?
A: 0x001a, D: 0xff, D: 255, D: ?
A: 0x001b, D: 0x60, D: 96, D: `
A: 0x001c, D: 0xff, D: 255, D: ?
A: 0x001d, D: 0x20, D: 32, D:  
A: 0x001e, D: 0xff, D: 255, D: ?
A: 0x001f, D: 0x50, D: 80, D: P
A: 0x0020, D: 0xff, D: 255, D: ?
A: 0x0021, D: 0xf0, D: 240, D: ?
A: 0x0022, D: 0xff, D: 255, D: ?
A: 0x0023, D: 0x00, D: 0, D: ?
A: 0x0024, D: 0xff, D: 255, D: ?
A: 0x0025, D: 0x00, D: 0, D: ?
A: 0x0026, D: 0xff, D: 255, D: ?
A: 0x0027, D: 0x98, D: 152, D: ?
A: 0x0028, D: 0xff, D: 255, D: ?
A: 0x0029, D: 0x00, D: 0, D: ?
A: 0x002a, D: 0xff, D: 255, D: ?
A: 0x002b, D: 0xa0, D: 160, D: ?
A: 0x002c, D: 0xff, D: 255, D: ?
A: 0x002d, D: 0x60, D: 96, D: `
A: 0x002e, D: 0xff, D: 255, D: ?
A: 0x002f, D: 0x30, D: 48, D: 0
A: 0x0030, D: 0xff, D: 255, D: ?
A: 0x0031, D: 0x00, D: 0, D: ?
A: 0x0032, D: 0xff, D: 255, D: ?
A: 0x0033, D: 0x88, D: 136, D: ?
A: 0x0034, D: 0xff, D: 255, D: ?
A: 0x0035, D: 0x00, D: 0, D: ?
A: 0x0036, D: 0xff, D: 255, D: ?
A: 0x0037, D: 0x20, D: 32, D:  
A: 0x0038, D: 0xff, D: 255, D: ?
A: 0x0039, D: 0xb0, D: 176, D: ?
A: 0x003a, D: 0xff, D: 255, D: ?
A: 0x003b, D: 0x00, D: 0, D: ?
A: 0x003c, D: 0xff, D: 255, D: ?
A: 0x003d, D: 0x00, D: 0, D: ?
A: 0x003e, D: 0xff, D: 255, D: ?
A: 0x003f, D: 0x60, D: 96, D: `
A: 0x0040, D: 0xff, D: 255, D: ?
A: 0x0041, D: 0x28, D: 40, D: (
A: 0x0042, D: 0xff, D: 255, D: ?
A: 0x0043, D: 0x70, D: 112, D: p
A: 0x0044, D: 0xff, D: 255, D: ?
A: 0x0045, D: 0xa0, D: 160, D: ?
A: 0x0046, D: 0xff, D: 255, D: ?
A: 0x0047, D: 0x20, D: 32, D:  
A: 0x0048, D: 0xff, D: 255, D: ?
A: 0x0049, D: 0x00, D: 0, D: ?
A: 0x004a, D: 0xff, D: 255, D: ?
A: 0x004b, D: 0xd8, D: 216, D: ?
A: 0x004c, D: 0xff, D: 255, D: ?
A: 0x004d, D: 0x00, D: 0, D: ?
A: 0x004e, D: 0xff, D: 255, D: ?
A: 0x004f, D: 0x10, D: 16, D: ?
A: 0x0050, D: 0xff, D: 255, D: ?
A: 0x0051, D: 0x90, D: 144, D: ?
A: 0x0052, D: 0xff, D: 255, D: ?
A: 0x0053, D: 0x00, D: 0, D: ?
A: 0x0054, D: 0xff, D: 255, D: ?
A: 0x0055, D: 0x00, D: 0, D: ?
A: 0x0056, D: 0xff, D: 255, D: ?
A: 0x0057, D: 0xb0, D: 176, D: ?
A: 0x0058, D: 0xff, D: 255, D: ?
A: 0x0059, D: 0x30, D: 48, D: 0
A: 0x005a, D: 0xff, D: 255, D: ?
A: 0x005b, D: 0xc8, D: 200, D: ?
A: 0x005c, D: 0xff, D: 255, D: ?
A: 0x005d, D: 0xc0, D: 192, D: ?
A: 0x005e, D: 0xff, D: 255, D: ?
